oid	schema	name	identity_args	return_type	prokind	provolatile	prosecdef	owner	proconfig	language	prosrc_md5	prosrc_len	proacl
21750	public	current_user_store_id		uuid	FUNCTION	s	true	postgres	search_path=public, extensions	plpgsql	eff8c085c92c6063785a95b0e6dfa17b	96	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
138373	public	current_user_store_ids		uuid[]	FUNCTION	s	true	postgres	search_path=public	plpgsql	317799d87c0daedabb3dba833507e3f4	418	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
138372	public	current_user_tenant_id		uuid	FUNCTION	s	true	postgres	search_path=public	sql	e7c7f1fdb7e5134a4f1c7a0752c1088e	64	=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres
134481	public	date_dist	date, date	integer	FUNCTION	i	false	supabase_admin		c	3983f43755ffa80d869985d91ee8e538	9	=X/supabase_admin,supabase_admin=X/supabase_admin,postgres=X/supabase_admin,anon=X/supabase_admin,authenticated=X/supabase_admin,service_role=X/supabase_admin
131395	public	deduct_stock	p_store_id uuid, p_product_id uuid, p_quantity numeric	void	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	669feb8d547076050968cf9ccf3884bc	267	postgres=X/postgres,service_role=X/postgres
138109	public	detect_orphan_users		TABLE(auth_user_id uuid, email text, detected_at timestamp with time zone, log_status text)	FUNCTION	v	true	postgres	search_path=public, pg_temp	plpgsql	3c6df053ef9d9b7ff7c6682cf2176811	843	postgres=X/postgres,service_role=X/postgres
137558	public	discover_backup_tables		jsonb	FUNCTION	v	true	postgres	search_path=public	sql	ee9395981aa2c7236814ac40a5f64c5b	1633	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
138597	public	distribute_service_cost_v2	p_service_id uuid, p_user_id uuid	jsonb	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	00ed3bfc684ec873cadc6ca2ac62a00b	3513	postgres=X/postgres,service_role=X/postgres
136705	public	duplicate_inventory_adjustment	p_original_id uuid, p_user_id uuid	jsonb	FUNCTION	v	true	postgres	search_path=public	plpgsql	f8fd1b6211b3430afd39c90d580f92d5	2910	postgres=X/postgres,service_role=X/postgres
138870	public	duplicate_inventory_adjustment_v2	p_original_id uuid, p_user_id uuid	jsonb	FUNCTION	v	true	postgres	search_path=public, pg_temp	plpgsql	bceaf59e7bc365164203026451e5c29b	2935	postgres=X/postgres,service_role=X/postgres
38667	public	enforce_encargado_store_limit		trigger	FUNCTION	v	false	postgres	search_path=public, extensions	plpgsql	38189cdb76977416c4aeb10e86f61aa1	658	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
38669	public	enforce_encargado_user_limit		trigger	FUNCTION	v	false	postgres	search_path=public, extensions	plpgsql	167b455368c0bcc3306bb09605b7669d	657	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
142220	public	enforce_ledger_append_only		trigger	FUNCTION	v	true	postgres	search_path=public, pg_temp	plpgsql	787a87f113197060dad670fbe3723c70	188	postgres=X/postgres,service_role=X/postgres
136259	public	ensure_fiscal_period	p_store_id uuid, p_year integer, p_month integer	uuid	FUNCTION	v	true	postgres	search_path=pg_catalog, public	plpgsql	391f9718402643b3cf5f0cf66270063a	471	postgres=X/postgres,service_role=X/postgres
142600	public	ensure_product_barcode		trigger	FUNCTION	v	true	postgres	search_path=public, pg_temp	plpgsql	f14324e9aebb1bb16c6f94ceb8face30	691	postgres=X/postgres,service_role=X/postgres
134483	public	float4_dist	real, real	real	FUNCTION	i	false	supabase_admin		c	1491a162a165d9bd567fbac3c9d1dd2d	11	=X/supabase_admin,supabase_admin=X/supabase_admin,postgres=X/supabase_admin,anon=X/supabase_admin,authenticated=X/supabase_admin,service_role=X/supabase_admin
134485	public	float8_dist	double precision, double precision	double precision	FUNCTION	i	false	supabase_admin		c	1c6ca5056a910a22941735008e6a75c1	11	=X/supabase_admin,supabase_admin=X/supabase_admin,postgres=X/supabase_admin,anon=X/supabase_admin,authenticated=X/supabase_admin,service_role=X/supabase_admin
136799	public	fn_generate_physical_count_number		trigger	FUNCTION	v	false	postgres		plpgsql	651cf64cc3a01b4f1bc4032c8a78c3d6	349	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
131041	public	fn_log_system_health	p_payload jsonb	uuid	FUNCTION	v	true	postgres	search_path=public	plpgsql	464bbd7f07293e0c7e018f489f45f318	1275	postgres=X/postgres,service_role=X/postgres
130968	public	fn_maintain_product_completeness		trigger	FUNCTION	v	false	postgres		plpgsql	165ff622f3468aeb92c2c8fc61c70a18	293	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
26950	public	fn_process_receipt	p_items jsonb, p_user_id uuid, p_reference text	uuid	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	99a3aed010e600b0e613f988ace09589	3303	postgres=X/postgres,service_role=X/postgres
130964	public	fn_process_receipt	p_items jsonb, p_user_id uuid, p_store_id uuid, p_reference text	uuid	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	ee57bdfc693da29eee6bd8987a2cd119	3286	postgres=X/postgres,service_role=X/postgres
26951	public	fn_process_sale	p_items jsonb, p_cashier_id uuid, p_payment_method text	uuid	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	d7deef9a39619838b86945d75c68c7ba	2509	postgres=X/postgres,service_role=X/postgres
142906	public	fn_recalc_wac	p_store_id uuid, p_product_id uuid, p_event text, p_qty_in numeric, p_uc_in numeric, p_source_ref jsonb	numeric	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	8857360458027a77421aa793efb4bf3f	1749	postgres=X/postgres,service_role=X/postgres
26677	public	fn_sync_inventory_on_movement		trigger	FUNCTION	v	true	postgres	search_path=public, pg_temp	plpgsql	6e3f97c765b82e692199a3b6428cafe3	2212	postgres=X/postgres,service_role=X/postgres
136728	public	fn_sync_profile_role		trigger	FUNCTION	v	false	postgres		plpgsql	5023bf37ec8932b2c374a6d6e3390971	345	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
20168	public	fn_update_inventory_on_movement		trigger	FUNCTION	v	false	postgres		plpgsql	64d0e04bdecb7192d6c77ac55c5317dd	433	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
136674	public	fn_validate_document_transition		trigger	FUNCTION	v	false	postgres		plpgsql	469c529a70fe578a6f2ac25273bd79ca	2645	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
26952	public	fn_void_receipt	p_receipt_id uuid, p_user_id uuid	boolean	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	e2f69b2035ce73b18ba718789851cb3c	1956	postgres=X/postgres,service_role=X/postgres
134939	public	gbt_bit_compress	internal	internal	FUNCTION	i	false	supabase_admin		c	31f34def849731302ee00e721401f01e	16	=X/supabase_admin,supabase_admin=X/supabase_admin,postgres=X/supabase_admin,anon=X/supabase_admin,authenticated=X/supabase_admin,service_role=X/supabase_admin
134938	public	gbt_bit_consistent	internal, bit, smallint, oid, internal	boolean	FUNCTION	i	false	supabase_admin		c	878550d7e83f71fce0c49f44e350fedb	18	=X/supabase_admin,supabase_admin=X/supabase_admin,postgres=X/supabase_admin,anon=X/supabase_admin,authenticated=X/supabase_admin,service_role=X/supabase_admin
134940	public	gbt_bit_penalty	internal, internal, internal	internal	FUNCTION	i	false	supabase_admin		c	bb931bf3a8c73b48aeb0d1c8ff8089a0	15	=X/supabase_admin,supabase_admin=X/supabase_admin,postgres=X/supabase_admin,anon=X/supabase_admin,authenticated=X/supabase_admin,service_role=X/supabase_admin
134941	public	gbt_bit_picksplit	internal, internal	internal	FUNCTION	i	false	supabase_admin		c	e0877b1f6b123b43a7e32f762798e785	17	=X/supabase_admin,supabase_admin=X/supabase_admin,postgres=X/supabase_admin,anon=X/supabase_admin,authenticated=X/supabase_admin,service_role=X/supabase_admin
134943	public	gbt_bit_same	gbtreekey_var, gbtreekey_var, internal	internal	FUNCTION	i	false	supabase_admin		c	16e8047e6ef1cabcbda842ee8111c84c	12	=X/supabase_admin,supabase_admin=X/supabase_admin,postgres=X/supabase_admin,anon=X/supabase_admin,authenticated=X/supabase_admin,service_role=X/supabase_admin
134942	public	gbt_bit_union	internal, internal	gbtreekey_var	FUNCTION	i	false	supabase_admin		c	06cf6eaf5701d50b4786c48583f7bb38	13	=X/supabase_admin,supabase_admin=X/supabase_admin,postgres=X/supabase_admin,anon=X/supabase_admin,authenticated=X/supabase_admin,service_role=X/supabase_admin
135086	public	gbt_bool_compress	internal	internal	FUNCTION	i	false	supabase_admin		c	946688ab3d74a1a017a0687422a89c61	17	=X/supabase_admin,supabase_admin=X/supabase_admin,postgres=X/supabase_admin,anon=X/supabase_admin,authenticated=X/supabase_admin,service_role=X/supabase_admin
135085	public	gbt_bool_consistent	internal, boolean, smallint, oid, internal	boolean	FUNCTION	i	false	supabase_admin		c	8056612ce590a44b42e53db0a2d19820	19	=X/supabase_admin,supabase_admin=X/supabase_admin,postgres=X/supabase_admin,anon=X/supabase_admin,authenticated=X/supabase_admin,service_role=X/supabase_admin
